id,theme,data_display_name,keep,description,keywords,exists,reference,reference table/fig/pgno,provider,url,kpi_domain,kpis,data_original_name,data_web_anchor,earliest_year,latest_year,format,update_frequency,coverage,geographical_level,geog_level2,access_level,licence,ki_publictransportaccessibility,ki_coveragebycyclingfacilities,ki_coverageofthedrainagesystem,ki_parkingmanagement,ki_reductionofprivatevehicles,ki_declineinaccidents,ki_walkingandcycling,ki_publictransportridership,ki_lastmileuseofintermediatepublictransport,ki_walkability,ki_supplyofpublictransportvehicles,ki_xnokpi,ki_localtrafficflow,ki_organisedroaduse,ki_traineddrivers,ki_transportrelatedinvestment,ki_motorvehicletrafficreduction,kd_publictransportsupply,kd_safetyandcomfort,kd_effectiveenforcement,kd_xnokpidom,kd_sustainablemobility,kd_inclusivemobility,kd_healthandsafety,kd_sustainabletransportfunding,format2,editable,update_freq2
1,Administrative Context,Villages In Jaipur Region,TRUE,Names of villages in Jaipur Region.,"Villages, Jaipur Region,",yes,"JDA (2011) Master Development Plan 2025, vol1","Heading 2.8, map on pg no. 109",JDA,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,,,,,,2011,printed map,,Jaipur District,district level,district,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
2,Administrative Context,Gram Panchayat Of Jaipur Region,TRUE,Boundaries for Gram Panchayats in Jaipur Region.,"Gram panchayat, boundaries, Jaipur Region",yes,"JDA (2011) Master Development Plan 2025, vol1","Map 3-3, pg. 131",JDA,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,,,,,,2011,printed map,,Jaipur Urban Area (2018),regional level,region,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
3,Administrative Context,Evolution Of Jaipur Urban Extent,TRUE,Growth of Jaipur's urban area over time,"Growth, Urban Area, Jaipur",yes,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 6-1, Pg 6-2",JDA,Document not yet published,,,,,1989,2014,map image,,City level,regional level,region,private,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
4,Administrative Context,Zones And Wards In Jaipur,TRUE,Boundaries for zones and wards in Jaipur (as per census 2001),"Boundaries, Zones & Wards, Census 2001",yes,"JDA (2011) Master Development Plan 2025, vol1","Map 3-2, pg. 130",JDA,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,"public transport supply, safety and comfort, effective enforcement",,,,,2001,printed map,,Jaipur District,district level,district,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
5,Administrative Context,"List Of Existing Towns With Present Population, Future Population And Their Class By 2025",TRUE,"List of existing town with present population, future population and their class by 2025 should be used with Map 2-45 Optimum Connectivity of future towns.","Existing Towns, Population (Present and Future), Optimum Connectivity",yes,"JDA (2011) Master Development Plan 2025, vol1","Table 2-39, pg. 121",JDA,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,,,,,,2001,printed table,,Jaipur District,district level,district,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed table,FALSE,unknown
6,Administrative Context,Population Density Map Of Jaipur Region,TRUE,Population density for Jaipur Region.,"Population density, Jaipur Region",yes,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-8, pg.2-12",JDA,Document not yet published,,,,,,2011,printed map,,Jaipur District,district level,district,private,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
7,Administrative Context,Population Density Of Jmc And Satellite Towns,TRUE,Population density of JMC and Satellite Towns.,"Population density, JMC, Sattelite towns",yes,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-6, pg. 2-10",JDA,Document not yet published,,,,,,2018,printed map,,Jaipur Region ,regional level,region,private,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
8,Administrative Context,Ward Wise Population Density Of Jmc,TRUE,Ward wise population density of JMC area.,"Wardwise Population, JMC area",yes,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-7, pg. 2-11",JDA,Document not yet published,,,,,,2011,printed map,,Jaipur Municipal Corporation,regional level,region,private,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
9,Administrative Context,Zoning Map- Jaipur District,TRUE,Zoning and growth nodes in Jaipur District.,"Ecosensitive, Agriculture Dominant, Urban, Rural
Zoning and Growth Nodes",yes,"JDA (2011) Master Development Plan 2025, vol1","Map 2-35, pg no. 110",JDA,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,,,,,,2011,printed map,,Jaipur District,district level,district,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
10,Administrative Context,Jda Zonal Plan,TRUE,"Zonal Plan of JDA region, Jaipur dated 2018","Zonal Boundary, JDA",yes,JDA (2018) Zonal Development Plan,,JDA,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/zonal-development-plan.html,,,,,,2018,map image,,Jaipur Development Authority (2018),regional level,region,open,not known,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,printed map,FALSE,unknown
