id,title,description,keywords,sector,group,jurisdiction,frequency,granularity__spatial,granularity__temporal,date__earliest,date__latest,access_type,format,provider,reference,url,access_method
17,Administrative Boundary Database,"Georeferenced Administrative Boundary Database with Entire country Upto Taluk level with HQ, Entire country Upto Distt. level with HQ, State Upto Taluk level with HQ, State Upto Distt. level with HQ  Scale of 1:1M","administrative, taluka, georeferenced",Administrative Context,,India,unknown,cd block / town,one-time,,2023,open,shapefile,Survey of india,"Survey of India (2024) Online Maps Portal, NA",https://onlinemaps.surveyofindia.gov.in/Digital_Product_Show.aspx,Go to source URL
15,Administrative Setup Jaipur,"Name of Panchayat samiti, No. of Gram Panchayat, No. of Villages , Tehsil(s) or (No. of Villages) and Census Towns
","Panchayat Samit, No. of Gram Panchayats, census towns",Administrative Context,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 12",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
16,Cadastal Map,Boundary for individual plots based on ownership. ,cadastal map,Administrative Context,,Rajasthan,unknown,state,one-time,,2024,open,printed map,"Bhunaksha, rajasthan","Bhunaksha, NA",https://bhunaksha.rajasthan.gov.in/,Go to source URL
3,Evolution Of Jaipur Urban Extent,Growth of Jaipur's urban area over time,"Growth, Urban Area, Jaipur",Administrative Context,L&T Infra Engineering Transport Study,City level,unknown,region,one-time,1989,2014,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 6-1, Pg 6-2",Document not yet published,Not currently available
2,Gram Panchayat Of Jaipur Region,Boundaries for Gram Panchayats in Jaipur Region.,"Gram panchayat, boundaries, Jaipur Region",Administrative Context,master plan map,Jaipur Urban Area (2018),unknown,region,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-3, pg. 131",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
11,Jda Base Map,"Base map of JDA region, Jaipur","Base Map, JDA",Administrative Context,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2009) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
10,Jda Zonal Plan,"Zonal Plan of JDA region, Jaipur dated 2018","Zonal Boundary, JDA",Administrative Context,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2018,open,printed map,JDA,"JDA (2018) Zonal Development Plan, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/zonal-development-plan.html,Go to source URL
5,"List Of Existing Towns With Present Population, Future Population And Their Class By 2025","List of existing town with present population, future population and their class by 2025 should be used with Map 2-45 Optimum Connectivity of future towns.","Existing Towns, Population (Present and Future), Optimum Connectivity",Administrative Context,master plan data,Jaipur District,unknown,district,one-time,,2001,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 2-39, pg. 121",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
13,Nagar Nigam Jaipur Greater Map,Nagar Nigam Jaipur Greater Map,Nagar Nigam Jaipur Greater Map,Administrative Context,master plan map,Nagar Nigam Jaipur Greater (2019),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2011) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
14,Nagar Nigam Jaipur Heritage Map,Nagar Nigam Jaipur Heritage Map,Nagar Nigam Jaipur Heritage Map,Administrative Context,master plan map,Nagar Nigam Jaipur Heritage (2019),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2011) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
6,Population Density Map Of Jaipur Region,Population density for Jaipur Region.,"Population density, Jaipur Region",Administrative Context,L&T Infra Engineering Transport Study,Jaipur District,unknown,district,one-time,,2011,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-8, pg.2-12",Document not yet published,Not currently available
7,Population Density Of Jmc And Satellite Towns,Population density of JMC and Satellite Towns.,"Population density, JMC, Sattelite towns",Administrative Context,L&T Infra Engineering Transport Study,Jaipur Region ,unknown,region,one-time,,2018,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-6, pg. 2-10",Document not yet published,Not currently available
1,Villages In Jaipur Region,Names of villages in Jaipur Region.,"Villages, Jaipur Region,",Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Heading 2.8, map on pg no. 109",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
12,Walled City Jaipur,Map of Jaipur Walled City,Wall city jaipur,Administrative Context,master plan map,Jaipur Wall City (1987),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (1987) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
8,Ward Wise Population Density Of Jmc,Ward wise population density of JMC area.,"Wardwise Population, JMC area",Administrative Context,L&T Infra Engineering Transport Study,Jaipur Municipal Corporation,unknown,region,one-time,,2011,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-7, pg. 2-11",Document not yet published,Not currently available
4,Zones And Wards In Jaipur,Boundaries for zones and wards in Jaipur (as per census 2001),"Boundaries, Zones & Wards, Census 2001",Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-2, pg. 130",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
9,Zoning Map- Jaipur District,Zoning and growth nodes in Jaipur District.,"Ecosensitive, Agriculture Dominant, Urban, Rural
Zoning and Growth Nodes",Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-35, pg no. 110",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
24,Age-Wise Population And Sex Distribution,"Age groups,male and female distribution","Age Groups, Gender Distribution",Demographic Profile,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-9, pg.56",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
64,"Decadal Change In Population Of Tahsils By Residence, 2001-2011","Tahsil, Population (2001 and 2011), Percentage decadal variation 2001-2011,  Percentage urban population","Population change, tehsils data",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T01_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
