id,name,description,theme,resolution,format,provider,reference,reference_detail,latest_year,update_frequency,url
1,VILLAGES IN JAIPUR REGION,This dataset provides names of villages in Jaipur Region.,Administrative Context,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Heading 2.8, map on pg no. 109",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
2,GRAM PANCHAYAT OF JAIPUR REGION,This dataset provides boundaries for Gram Panchayats in Jaipur Region.,Administrative Context,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-3, pg. 131",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
3,EVOLUTION OF JAIPUR URBAN EXTENT,This dataset provides the information The growth of Jaipur's urban area over time,Administrative Context,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 6-1, Pg 6-2",2014,N/A,Document not yet published
4,ZONES AND WARDS IN JAIPUR,This dataset provides boundaries for zones and wards in Jaipur (as per census 2001),Administrative Context,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-2, pg. 130",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
5,"LIST OF EXISTING TOWNS WITH PRESENT POPULATION, FUTURE POPULATION AND THEIR CLASS BY 2025","List of existing town with present population, future population and their class by 2025 should be used with Map 2-45 Optimum Connectivity of future towns.",Administrative Context,District,Printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1","Table 2-39, pg. 121",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
6,POPULATION DENSITY MAP OF JAIPUR REGION,This dataset provides population density for Jaipur Region.,Administrative Context,District,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-8, pg.2-12",2011,N/A,Document not yet published
7,POPULATION DENSITY OF JMC AND SATELLITE TOWNS,This dataset provides population density of JMC and Satellite Towns.,Administrative Context,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-6, pg. 2-10",2018,N/A,Document not yet published
8,WARD WISE POPULATION DENSITY OF JMC,This dataset provides wardwise population density of JMC area.,Administrative Context,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-7, pg. 2-11",2011,N/A,Document not yet published
9,ZONING MAP- JAIPUR DISTRICT,"The district has been divided into 4 zones, namely, the ecosensitive zone, agriculture dominant zone, urban zone and the rural zone. The map Shows the zoning and growth nodes in the District.",Administrative Context,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-35, pg no. 110",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
10,JDA ZONAL PLAN,"Contains the zonal Plan of JDA region, Jaipur dated 2018",Administrative Context,Region,Printed map,JDA,JDA (2018) Zonal Development Plan,N/A,2018,N/A,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/zonal-development-plan.html
